SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2009-10	42	4200115	84	342	24.6	69	59	100.0	-2
2009-10	42	4200118	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200119	-3	1569	-3.0	226	134	100.0	-2
2009-10	42	4200120	-3	57	-3.0	6	16	37.5	-2
2009-10	42	4200121	-2	-2	-2.0	-1	-2	-1.0	-2
2009-10	42	4200122	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200123	-3	273	-3.0	38	75	50.7	-2
2009-10	42	4200124	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200125	-3	217	-3.0	-1	78	-1.0	-2
2009-10	42	4200126	-2	-2	-2.0	-1	-2	-1.0	-2
2009-10	42	4200127	-3	1179	-3.0	289	225	100.0	-2
2009-10	42	4200128	-3	259	-3.0	58	-2	-2.0	-2
2009-10	42	4200129	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200130	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200131	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200132	-3	337	-3.0	67	-2	-2.0	-2
2009-10	42	4200133	-3	144	-3.0	56	-2	-2.0	-2
2009-10	42	4200134	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200135	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200136	-3	97	-3.0	34	28	100.0	-2
2009-10	42	4200137	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200138	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200139	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200140	83	1790	4.6	251	100	100.0	-2
2009-10	42	4200141	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200142	-3	68	-3.0	11	-2	-2.0	-2
2009-10	42	4200143	-1	445	-1.0	96	-2	-2.0	-2
2009-10	42	4200144	-1	424	-1.0	80	-2	-2.0	-2
2009-10	42	4200145	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200749	-3	48	-3.0	10	-2	-2.0	-2
2009-10	42	4200750	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200751	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200752	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200753	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200754	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200755	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200756	-4	-2	-4.0	-1	-2	-1.0	-2
2009-10	42	4200758	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200759	-3	201	-3.0	-1	-2	-1.0	-2
2009-10	42	4200760	-3	368	-3.0	-1	-2	-1.0	-2
2009-10	42	4200761	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200762	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200764	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200765	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200766	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200767	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200768	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200769	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200770	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200771	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200772	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200773	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200774	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200775	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200776	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200777	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200778	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200779	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200780	-2	-2	-2.0	-2	-2	-2.0	-2
