2010_MEDIAN_HOUSEHOLD_INCOME,COUNTY,STATE
51462,JEFFERSON COUNTY,ALABAMA
42995,JEFFERSON COUNTY,ALABAMA
41840,JEFFERSON COUNTY,ALABAMA
46185,JEFFERSON COUNTY,ALABAMA
43358,JEFFERSON COUNTY,ALABAMA
18588,JEFFERSON COUNTY,ALABAMA
43505,JEFFERSON COUNTY,ALABAMA
60185,JEFFERSON COUNTY,ALABAMA
46857,JEFFERSON COUNTY,ALABAMA
46587,JEFFERSON COUNTY,ALABAMA
44142,JEFFERSON COUNTY,ALABAMA
45739,JEFFERSON COUNTY,ALABAMA
50682,JEFFERSON COUNTY,ALABAMA
50750,JEFFERSON COUNTY,ALABAMA
68547,JEFFERSON COUNTY,ALABAMA
54000,JEFFERSON COUNTY,ALABAMA
38429,JEFFERSON COUNTY,ALABAMA
43566,JEFFERSON COUNTY,ALABAMA
35992,JEFFERSON COUNTY,ALABAMA
36250,JEFFERSON COUNTY,ALABAMA
45795,JEFFERSON COUNTY,ALABAMA
144464,JEFFERSON COUNTY,ALABAMA
78600,JEFFERSON COUNTY,ALABAMA
64929,JEFFERSON COUNTY,ALABAMA
61481,JEFFERSON COUNTY,ALABAMA
120526,JEFFERSON COUNTY,ALABAMA
63939,JEFFERSON COUNTY,ALABAMA
55707,JEFFERSON COUNTY,ALABAMA
42865,JEFFERSON COUNTY,ALABAMA
61399,JEFFERSON COUNTY,ALABAMA
112042,JEFFERSON COUNTY,ALABAMA
35801,JEFFERSON COUNTY,ALABAMA
50875,JEFFERSON COUNTY,ALABAMA
49526,JEFFERSON COUNTY,ALABAMA
61676,JEFFERSON COUNTY,ALABAMA
22021,JEFFERSON COUNTY,ALABAMA
21223,JEFFERSON COUNTY,ALABAMA
45565,JEFFERSON COUNTY,ALABAMA
23831,JEFFERSON COUNTY,ALABAMA
49010,JEFFERSON COUNTY,ALABAMA
26034,JEFFERSON COUNTY,ALABAMA
21451,JEFFERSON COUNTY,ALABAMA
37216,JEFFERSON COUNTY,ALABAMA
37198,JEFFERSON COUNTY,ALABAMA
51107,JEFFERSON COUNTY,ALABAMA
63892,JEFFERSON COUNTY,ALABAMA
60960,JEFFERSON COUNTY,ALABAMA
52159,JEFFERSON COUNTY,ALABAMA
49338,JEFFERSON COUNTY,ALABAMA
88399,JEFFERSON COUNTY,ALABAMA
90288,JEFFERSON COUNTY,ALABAMA
41085,JEFFERSON COUNTY,ALABAMA
72188,JEFFERSON COUNTY,ALABAMA
68650,JEFFERSON COUNTY,ALABAMA
49886,JEFFERSON COUNTY,ALABAMA
81935,JEFFERSON COUNTY,ALABAMA
51577,JEFFERSON COUNTY,ALABAMA
67354,JEFFERSON COUNTY,ALABAMA
68725,JEFFERSON COUNTY,ALABAMA
80245,JEFFERSON COUNTY,ALABAMA
91327,JEFFERSON COUNTY,ALABAMA
36389,LAMAR COUNTY,ALABAMA
33112,LAMAR COUNTY,ALABAMA
38207,LAMAR COUNTY,ALABAMA
14817,LAUDERDALE COUNTY,ALABAMA
16250,LAUDERDALE COUNTY,ALABAMA
14932,LAUDERDALE COUNTY,ALABAMA
29907,LAUDERDALE COUNTY,ALABAMA
22136,LAUDERDALE COUNTY,ALABAMA
20313,LAUDERDALE COUNTY,ALABAMA
26958,LAUDERDALE COUNTY,ALABAMA
38302,LAUDERDALE COUNTY,ALABAMA
26921,LAUDERDALE COUNTY,ALABAMA
50724,LAUDERDALE COUNTY,ALABAMA
47667,LAUDERDALE COUNTY,ALABAMA
42054,LAUDERDALE COUNTY,ALABAMA
39688,LAUDERDALE COUNTY,ALABAMA
40897,LAUDERDALE COUNTY,ALABAMA
64838,LAUDERDALE COUNTY,ALABAMA
34286,LAUDERDALE COUNTY,ALABAMA
47286,LAUDERDALE COUNTY,ALABAMA
54283,LAUDERDALE COUNTY,ALABAMA
59146,LAUDERDALE COUNTY,ALABAMA
48288,LAUDERDALE COUNTY,ALABAMA
47957,LAUDERDALE COUNTY,ALABAMA
43333,LAUDERDALE COUNTY,ALABAMA
33819,LAWRENCE COUNTY,ALABAMA
34988,LAWRENCE COUNTY,ALABAMA
45074,LAWRENCE COUNTY,ALABAMA
28924,LAWRENCE COUNTY,ALABAMA
39830,LAWRENCE COUNTY,ALABAMA
47552,LAWRENCE COUNTY,ALABAMA
45882,LAWRENCE COUNTY,ALABAMA
45456,LAWRENCE COUNTY,ALABAMA
35550,LAWRENCE COUNTY,ALABAMA
35912,LEE COUNTY,ALABAMA
24716,LEE COUNTY,ALABAMA
35074,LEE COUNTY,ALABAMA
89299,LEE COUNTY,ALABAMA
